City/Region,Lat,Long,Notes
Actium,20.8,38.92,
Alexandrium,,,
Allobrogibus,,,
Alyzia,20.56,38.42,
Arpinati,,,
Astura,12.78,41.42,
Athens,23.73,37.98,
Attici Ficuleano house,,,
Brindisium,17.56,40.38,
Brundisium,17.56,40.38,
Caesars,,,
Campania,14.3,40.5,-- Cumae
Capua,14.12,41.06,
Cilicia,35.29,36.52,
Corcyra,19.52,39.35,
Corduba,4.78,37.53,
Cumanum,14.3,40.5,
Cyprum,33.22,35.1,-- Nicosia
Dertona,8.51,44.53,
Dyrrhachium,19.26,41.18,
Eporedia,7.53,45.28,
Formium,,,
Gallia,,,
Hispania,,,
Iconium,,,
Intimilium,7.36,43.47,
Lanuvium,12.42,41.41,
Laterium,13.6,41.65,
Latium,12.3,41.53,-- Rome
Laudicea,29.06,37.5,
Lepidus,,,
Maium,,,
Menturnis,,,
Mopsuhestia,35.37,36.57,
Mytilens,26.33,39.6,
Narona,17.37,43.04,
Neapolium,14.15,40.5,
Parma,10.19,44.48,
Patra,,,
Perga,30.51,36.57,
Pindenessus,36.33,36.75,
Pindenissus,36.33,36.75,
Pollentia,3.7,39.51,
Pompeiano house,,,
Pomptinum,,,
Ponte,,,
Pyramus,,,
Regium,15.39,38.06,OR 44°42′N 10°38′E
Rhodium,27.56,36.1,
Roma,12.3,41.53,
Sicilia,14.01,37.6,
Sidae,22.53,38.9,
Syria,39,34.8,
Tadolics,,,
Tarsium,,,
Thessalonica,22.9,40.65,
Tusculanum,34.9,36.92,
Velia,15.09,40.09,
Vercells,,,
Voconium,,,
